Cache Size,Block Size,Associativity,Bus Latency,Hit Latency,Memory Latency Cycle,Miss Num,Miss rate,Cache Latency Cycle,Total Latency Cycle
1048576,2048,512,0,2,338700,3384,0.005528,1224400,1563100
524288,1024,512,0,2,339600,3393,0.005542,1224400,1564000
524288,2048,256,0,2,342100,3412,0.005573,1224400,1566500
262144,1024,256,0,2,343000,3421,0.005588,1224400,1567400
131072,256,512,0,2,345400,3457,0.005647,1224400,1569800
131072,256,1,0,2,346600,3468,0.005665,1224400,1571000
131072,128,1,0,2,349600,3506,0.005727,1224400,1574000
262144,2048,128,0,2,349800,3474,0.005675,1224400,1574200
65536,256,256,0,2,350000,3497,0.005712,1224400,1574400
131072,1024,1,0,2,350700,3483,0.005689,1224400,1575100
131072,1024,128,0,2,351100,3486,0.005694,1224400,1575500
131072,64,1,0,2,351700,3562,0.005818,1224400,1576100
65536,128,512,0,2,353500,3542,0.005786,1224400,1577900
65536,256,1,0,2,354000,3532,0.005769,1224400,1578400
65536,128,1,0,2,358200,3582,0.005851,1224400,1582600
32768,128,256,0,2,359400,3594,0.005871,1224400,1583800
131072,2048,64,0,2,361300,3567,0.005827,1224400,1585700
131072,2048,1,0,2,361400,3569,0.00583,1224400,1585800
32768,256,128,0,2,362100,3599,0.005879,1224400,1586500
65536,1024,64,0,2,362600,3579,0.005846,1224400,1587000
65536,64,1,0,2,363500,3662,0.005982,1224400,1587900
32768,256,1,0,2,363600,3609,0.005895,1224400,1588000
32768,128,1,0,2,365800,3646,0.005956,1224400,1590200
65536,1024,1,0,2,365900,3605,0.005889,1224400,1590300
32768,64,512,0,2,367900,3694,0.006034,1224400,1592300
32768,64,1,0,2,374100,3746,0.006119,1224400,1598500
16384,256,64,0,2,374300,3696,0.006037,1224400,1598700
16384,128,128,0,2,376900,3743,0.006114,1224400,1601300
16384,256,2,0,2,378000,3726,0.006086,1224400,1602400
16384,128,1,0,2,378300,3749,0.006124,1224400,1602700
16384,256,1,0,2,379200,3739,0.006107,1224400,1603600
65536,2048,32,0,2,383900,3746,0.006119,1224400,1608300
65536,2048,1,0,2,384500,3752,0.006129,1224400,1608900
32768,1024,32,0,2,386000,3764,0.006148,1224400,1610400
16384,64,1,0,2,386000,3845,0.006281,1224400,1610400
32768,1024,1,0,2,386900,3768,0.006155,1224400,1611300
16384,64,256,0,2,387100,3857,0.0063,1224400,1611500
8192,128,64,0,2,398000,3906,0.00638,1224400,1622400
8192,64,128,0,2,402600,3997,0.006529,1224400,1627000
8192,256,32,0,2,404200,3931,0.006421,1224400,1628600
8192,128,2,0,2,406100,3959,0.006467,1224400,1630500
8192,256,2,0,2,417100,4009,0.006549,1224400,1641500
32768,2048,1,0,2,420400,4033,0.006588,1224400,1644800
16384,1024,1,0,2,424600,4070,0.006648,1224400,1649000
32768,2048,16,0,2,428400,4100,0.006697,1224400,1652800
16384,1024,16,0,2,430900,4121,0.006731,1224400,1655300
4096,256,16,0,2,484900,4470,0.007302,1224400,1709300
4096,128,32,0,2,488500,4433,0.007241,1224400,1712900
4096,128,2,0,2,508700,4584,0.007488,1224400,1733100
16384,2048,8,0,2,524000,4866,0.007948,1224400,1748400
8192,1024,8,0,2,526600,4887,0.007983,1224400,1751000
4096,64,1,0,1,1149000,8968,0.014649,612200,1761200
4096,64,2,0,2,548800,4841,0.007908,1224400,1773200
4096,64,64,0,2,561800,4891,0.007989,1224400,1786200
8192,64,1,0,2,596500,5327,0.008701,1224400,1820900
2048,256,8,0,2,667300,5666,0.009255,1224400,1891700
2048,128,16,0,2,668200,5463,0.008924,1224400,1892600
8192,128,1,0,2,773200,6575,0.01074,1224400,1997600
8192,2048,4,0,2,775600,6864,0.011212,1224400,2000000
4096,1024,4,0,2,801400,7005,0.011442,1224400,2025800
2048,64,32,0,2,811300,6194,0.010118,1224400,2035700
2097152,2048,1024,0,3,337000,3370,0.005505,1836600,2173600
1048576,1024,1024,0,3,337900,3379,0.005519,1836600,2174500
262144,64,4,0,3,341500,3483,0.005689,1836600,2178100
262144,256,2,0,3,342300,3432,0.005606,1836600,2178900
262144,256,4,0,3,342500,3432,0.005606,1836600,2179100
262144,256,1024,0,3,342800,3434,0.005609,1836600,2179400
262144,256,1,0,3,343000,3436,0.005613,1836600,2179600
262144,128,2,0,3,343200,3454,0.005642,1836600,2179800
262144,128,4,0,3,343400,3457,0.005647,1836600,2180000
262144,64,2,0,3,343500,3494,0.005707,1836600,2180100
262144,1024,2,0,3,343600,3426,0.005596,1836600,2180200
262144,1024,4,0,3,343800,3428,0.005599,1836600,2180400
262144,1024,1,0,3,344000,3428,0.005599,1836600,2180600
262144,128,1,0,3,345300,3472,0.005671,1836600,2181900
131072,256,4,0,3,346000,3462,0.005655,1836600,2182600
262144,64,1,0,3,346300,3517,0.005745,1836600,2182900
131072,256,2,0,3,346700,3468,0.005665,1836600,2183300
131072,128,2,0,3,349100,3503,0.005722,1836600,2185700
131072,128,4,0,3,349100,3504,0.005724,1836600,2185700
262144,2048,2,0,3,349200,3471,0.00567,1836600,2185800
131072,128,1024,0,3,350100,3510,0.005733,1836600,2186700
131072,64,4,0,3,350100,3546,0.005792,1836600,2186700
262144,2048,1,0,3,350200,3479,0.005683,1836600,2186800
262144,2048,4,0,3,350300,3479,0.005683,1836600,2186900
131072,1024,4,0,3,350800,3483,0.005689,1836600,2187400
65536,256,4,0,3,351300,3509,0.005732,1836600,2187900
131072,64,2,0,3,351300,3558,0.005812,1836600,2187900
131072,1024,2,0,3,351700,3493,0.005706,1836600,2188300
65536,256,2,0,3,352100,3514,0.00574,1836600,2188700
65536,128,4,0,3,354700,3551,0.0058,1836600,2191300
65536,128,2,0,3,355100,3555,0.005807,1836600,2191700
65536,64,4,0,3,361200,3636,0.005939,1836600,2197800
131072,2048,4,0,3,361400,3567,0.005827,1836600,2198000
65536,64,2,0,3,361600,3640,0.005946,1836600,2198200
131072,2048,2,0,3,362000,3574,0.005838,1836600,2198600
32768,256,4,0,3,362400,3602,0.005884,1836600,2199000
32768,256,2,0,3,362400,3603,0.005885,1836600,2199000
32768,128,4,0,3,362800,3624,0.00592,1836600,2199400
65536,64,1024,0,3,363300,3650,0.005962,1836600,2199900
32768,128,2,0,3,363500,3628,0.005926,1836600,2200100
65536,1024,4,0,3,363800,3588,0.005861,1836600,2200400
65536,1024,2,0,3,363900,3588,0.005861,1836600,2200500
32768,64,4,0,3,368500,3699,0.006042,1836600,2205100
32768,64,2,0,3,371200,3721,0.006078,1836600,2207800
16384,128,2,0,3,377100,3741,0.006111,1836600,2213700
16384,128,4,0,3,377400,3748,0.006122,1836600,2214000
16384,256,4,0,3,379500,3737,0.006104,1836600,2216100
65536,2048,2,0,3,382700,3735,0.006101,1836600,2219300
16384,64,4,0,3,382900,3822,0.006243,1836600,2219500
4096,128,1,0,1,1608000,12472,0.020372,612200,2220200
16384,64,2,0,3,384100,3829,0.006254,1836600,2220700
32768,1024,2,0,3,386300,3764,0.006148,1836600,2222900
8192,128,4,0,3,397400,3904,0.006377,1836600,2234000
8192,64,4,0,3,404100,3999,0.006532,1836600,2240700
8192,64,2,0,3,407000,4016,0.00656,1836600,2243600
8192,256,1,0,2,1114500,9009,0.014716,1224400,2338900
2048,64,1,0,1,1937300,14200,0.023195,612200,2549500
2097152,1024,2048,0,4,335500,3361,0.00549,2448800,2784300
524288,128,4,0,4,338000,3415,0.005578,2448800,2786800
524288,256,2048,0,4,338300,3398,0.00555,2448800,2787100
524288,64,4,0,4,338300,3455,0.005644,2448800,2787100
524288,256,4,0,4,338900,3403,0.005559,2448800,2787700
524288,128,2,0,4,339000,3425,0.005595,2448800,2787800
524288,256,2,0,4,339200,3406,0.005564,2448800,2788000
524288,64,2,0,4,339500,3465,0.00566,2448800,2788300
524288,1024,4,0,4,339700,3394,0.005544,2448800,2788500
524288,1024,2,0,4,339800,3396,0.005547,2448800,2788600
524288,1024,1,0,4,340400,3400,0.005554,2448800,2789200
524288,256,1,0,4,340700,3414,0.005577,2448800,2789500
524288,128,1,0,4,341300,3439,0.005617,2448800,2790100
524288,64,1,0,4,341900,3480,0.005684,2448800,2790700
524288,2048,4,0,4,342100,3412,0.005573,2448800,2790900
262144,128,2048,0,4,342400,3449,0.005634,2448800,2791200
524288,2048,1,0,4,342700,3419,0.005585,2448800,2791500
524288,2048,2,0,4,343000,3420,0.005586,2448800,2791800
262144,1024,8,0,4,343300,3424,0.005593,2448800,2792100
262144,2048,8,0,4,349500,3472,0.005671,2448800,2798300
131072,64,2048,0,4,349700,3542,0.005786,2448800,2798500
131072,1024,8,0,4,351300,3485,0.005693,2448800,2800100
65536,256,8,0,4,351300,3508,0.00573,2448800,2800100
65536,128,8,0,4,353900,3545,0.005791,2448800,2802700
32768,256,8,0,4,362600,3603,0.005885,2448800,2811400
32768,128,8,0,4,363200,3626,0.005923,2448800,2812000
32768,64,8,0,4,368500,3701,0.006045,2448800,2817300
16384,128,8,0,4,376000,3736,0.006103,2448800,2824800
16384,64,8,0,4,382000,3813,0.006228,2448800,2830800
4096,256,1,0,1,2674600,20224,0.033035,612200,3286800
1048576,256,4096,0,5,334000,3369,0.005503,3061000,3395000
524288,128,4096,0,5,334900,3395,0.005546,3061000,3395900
1048576,128,8,0,5,335200,3397,0.005549,3061000,3396200
1048576,128,4,0,5,335300,3397,0.005549,3061000,3396300
1048576,256,8,0,5,335700,3378,0.005518,3061000,3396700
2048,128,1,0,1,2784900,20823,0.034013,612200,3397100
1048576,256,4,0,5,336200,3382,0.005524,3061000,3397200
1048576,128,2,0,5,336500,3405,0.005562,3061000,3397500
1048576,64,8,0,5,336500,3444,0.005626,3061000,3397500
1048576,64,4,0,5,336600,3445,0.005627,3061000,3397600
1048576,256,2,0,5,336800,3387,0.005533,3061000,3397800
524288,64,8,0,5,336800,3446,0.005629,3061000,3397800
524288,128,8,0,5,337100,3412,0.005573,3061000,3398100
1048576,64,2,0,5,337100,3448,0.005632,3061000,3398100
1048576,1024,8,0,5,337500,3377,0.005516,3061000,3398500
1048576,1024,4,0,5,337800,3378,0.005518,3061000,3398800
1048576,256,1,0,5,337800,3393,0.005542,3061000,3398800
1048576,1024,1,0,5,337900,3379,0.005519,3061000,3398900
1048576,1024,2,0,5,337900,3380,0.005521,3061000,3398900
1048576,2048,8,0,5,338500,3383,0.005526,3061000,3399500
1048576,128,1,0,5,338500,3418,0.005583,3061000,3399500
1048576,2048,4,0,5,338700,3385,0.005529,3061000,3399700
524288,256,8,0,5,338700,3401,0.005555,3061000,3399700
1048576,2048,2,0,5,339000,3388,0.005534,3061000,3400000
1048576,2048,1,0,5,339300,3392,0.005541,3061000,3400300
1048576,64,1,0,5,339400,3461,0.005653,3061000,3400400
524288,1024,8,0,5,339900,3395,0.005546,3061000,3400900
262144,64,8,0,5,340500,3473,0.005673,3061000,3401500
524288,2048,8,0,5,342600,3416,0.00558,3061000,3403600
262144,128,8,0,5,342600,3450,0.005635,3061000,3403600
262144,256,8,0,5,342800,3434,0.005609,3061000,3403800
131072,256,8,0,5,345700,3460,0.005652,3061000,3406700
131072,128,8,0,5,350200,3511,0.005735,3061000,3411200
131072,64,8,0,5,350600,3550,0.005799,3061000,3411600
65536,64,8,0,5,362800,3649,0.00596,3061000,3423800
2097152,256,8,0,6,334000,3369,0.005503,3673200,4007200
2097152,256,4,0,6,334300,3371,0.005506,3673200,4007500
2097152,128,4,0,6,334900,3395,0.005546,3673200,4008100
2097152,128,8,0,6,334900,3395,0.005546,3673200,4008100
2097152,256,2,0,6,335200,3375,0.005513,3673200,4008400
2097152,1024,8,0,6,335700,3362,0.005492,3673200,4008900
2097152,128,2,0,6,335800,3399,0.005552,3673200,4009000
2097152,256,1,0,6,336100,3381,0.005523,3673200,4009300
2097152,1024,1,0,6,336200,3365,0.005497,3673200,4009400
2097152,1024,4,0,6,336200,3365,0.005497,3673200,4009400
2097152,1024,2,0,6,336200,3366,0.005498,3673200,4009400
262144,64,4096,0,6,336500,3444,0.005626,3673200,4009700
2097152,64,4,0,6,336500,3444,0.005626,3673200,4009700
2097152,2048,2,0,6,336900,3371,0.005506,3673200,4010100
2097152,128,1,0,6,336900,3406,0.005564,3673200,4010100
2097152,64,2,0,6,336900,3446,0.005629,3673200,4010100
2097152,2048,8,0,6,337000,3370,0.005505,3673200,4010200
2097152,2048,1,0,6,337100,3371,0.005506,3673200,4010300
2097152,2048,4,0,6,337100,3371,0.005506,3673200,4010300
2097152,64,1,0,6,338100,3454,0.005642,3673200,4011300
4096,2048,2,0,2,3055800,23905,0.039048,1224400,4280200
2097152,64,8,0,7,336500,3444,0.005626,4285400,4621900
2048,1024,2,0,2,3859300,29830,0.048726,1224400,5083700
2097152,256,8192,0,9,334000,3369,0.005503,5509800,5843800
1048576,128,8192,0,9,334900,3395,0.005546,5509800,5844700
524288,64,8192,0,9,336500,3444,0.005626,5509800,5846300
2097152,128,16384,0,16,334900,3395,0.005546,9795200,10130100
1048576,64,16384,0,16,336500,3444,0.005626,9795200,10131700
2097152,64,32768,0,28,336500,3444,0.005626,17141600,17478100
