L1 Only (memory size from 64Byte to 2MB):

./trace/1.trace 0 0 0 100 2147483648 64 8 0 4 0 0 0 0 0 0 0 0 0 0

Associativity=1 Block_Size=64
S	Num		Rate
64B	251914	0.411490
	141749	0.231540
	77865	0.127189
	44016	0.071898
	24653	0.040270
	14200	0.023195
	8968	0.014649
	5327	0.008701
	3845	0.006281
	3746	0.006119
	3662	0.005982
	3562	0.005818
	3517	0.005745
	3480	0.005684
	3461	0.005653
2MB	3454	0.005642

Associativity=2 Block_Size=64
128B	70024 0.114381
		28038 0.045799
		16325 0.026666
		9455 0.015444
		6257 0.010221
		4841 0.007908
		4016 0.006560
		3829 0.006254
		3721 0.006078
		3640 0.005946
		3558 0.005812
		3494 0.005707
		3465 0.005660
		3448 0.005632
2MB		3446 0.005629


256B	17609 0.028763
		12119 0.019796
		8611 0.014066
		6207 0.010139
		4916 0.008030
		3999 0.006532
		3822 0.006243
		3699 0.006042
		3636 0.005939
		3546 0.005792
		3483 0.005689
		3455 0.005644
		3445 0.005627
2MB		3444 0.005626

512B	11639 0.019012
		8205 0.013402
		6244 0.010199
		4871 0.007957
		4001 0.006535
		3813 0.006228
		3701 0.006045
		3649 0.005960
		3550 0.005799
		3473 0.005673
		3446 0.005629
		3444 0.005626
2MB		3444 0.005626
